"dm, P, ""N(d), s(d)"""
"17,4,""{2 + 2*d^2, 2 - d + d^2}"""
"17,4,""{4 + 2*d^2, 2 - d/2 + d^2/2}"""
"17,4,""{2 - 2*d + 2*d^2, 1 - 2*d + d^2}"""
"17,4,""{4 - 2*d + 2*d^2, 1/2 - d + d^2/2}"""
"17,4,""{-3/2 - (3*d)/2 + 2*d^2, -9/4 - (11*d)/4 + d^2}"""
"17,4,""{1/2 - (3*d)/2 + 2*d^2, 3/4 - (11*d)/4 + d^2}"""
"17,4,""{-4 - d + 2*d^2, 1/4 - (3*d)/4 + d^2/2}"""
"17,4,""{-2 - d + 2*d^2, 1/2 - (3*d)/2 + d^2}"""
"17,4,""{-d + 2*d^2, -7 + 16*d}"""
"17,4,""{-d + 2*d^2, -3/4 - (3*d)/4 + d^2/2}"""
"17,4,""{-d + 2*d^2, 5/4 - (3*d)/4 + d^2/2}"""
"17,4,""{-d + 2*d^2, -15/4 + (21*d)/4 + d^2/2}"""
"17,4,""{-d + 2*d^2, -7/4 + (21*d)/4 + d^2/2}"""
"17,4,""{-d + 2*d^2, -1/2 - (3*d)/2 + d^2}"""
"17,4,""{-d + 2*d^2, 3/2 - (3*d)/2 + d^2}"""
"17,4,""{2 - d + 2*d^2, 1/2 - (3*d)/2 + d^2}"""
"17,4,""{4 - d + 2*d^2, 1/4 - (3*d)/4 + d^2/2}"""
"17,4,""{-5/2 - d/2 + 2*d^2, -15/4 - (9*d)/4 + d^2}"""
"17,4,""{-1/2 - d/2 + 2*d^2, -3/4 - (9*d)/4 + d^2}"""
"17,4,""{-4 + d + 2*d^2, -9/4 - d/4 + d^2/2}"""
"17,4,""{-2 + d + 2*d^2, -5/2 - d/2 + d^2}"""
"17,4,""{d + 2*d^2, 7 + 16*d}"""
"17,4,""{d + 2*d^2, -5/4 - d/4 + d^2/2}"""
"17,4,""{d + 2*d^2, 3/4 - d/4 + d^2/2}"""
"17,4,""{d + 2*d^2, 7/4 + (23*d)/4 + d^2/2}"""
"17,4,""{d + 2*d^2, 15/4 + (23*d)/4 + d^2/2}"""
"17,4,""{d + 2*d^2, -3/2 - d/2 + d^2}"""
"17,4,""{d + 2*d^2, 1/2 - d/2 + d^2}"""
"17,4,""{2 + d + 2*d^2, 3/2 - d/2 + d^2}"""
"17,4,""{4 + d + 2*d^2, 7/4 - d/4 + d^2/2}"""
"17,4,""{-4 + 2*d + 2*d^2, -5/2 + d^2/2}"""
"17,4,""{-2 + 2*d + 2*d^2, -3 + d^2}"""
"18,4,""{2*d^2, -1 - 8*d + d^2}"""
"18,4,""{2*d^2, 1 - 8*d + d^2}"""
"18,4,""{2*d^2, -1 - 4*d + d^2}"""
"18,4,""{2*d^2, 1 - 4*d + d^2}"""
"18,4,""{2*d^2, -d + d^2}"""
"18,4,""{-6 + 2*d^2, -3 - d/2 + d^2/2}"""
"18,4,""{-4 + 2*d^2, -4 - d + d^2}"""
"18,4,""{2 + 2*d^2, 1 + d/2 + d^2/2}"""
"18,4,""{2 - 2*d + 2*d^2, 2 - 2*d + d^2}"""
"18,4,""{4 - 2*d + 2*d^2, 2 - d + d^2/2}"""
"18,4,""{-5 - d + 2*d^2, -5/2 - (3*d)/4 + d^2/2}"""
"18,4,""{-3 - d + 2*d^2, -3 - (3*d)/2 + d^2}"""
"18,4,""{-d + 2*d^2, 3 - (17*d)/2 + d^2}"""
"18,4,""{-d + 2*d^2, 5 - (17*d)/2 + d^2}"""
"18,4,""{-d + 2*d^2, 1 - (9*d)/2 + d^2}"""
"18,4,""{-d + 2*d^2, 3 - (9*d)/2 + d^2}"""
"18,4,""{1 - d + 2*d^2, 1 - (3*d)/2 + d^2}"""
"18,4,""{3 - d + 2*d^2, 3/2 - (3*d)/4 + d^2/2}"""
"18,4,""{3 - d + 2*d^2, 2 - (3*d)/2 + d^2}"""
