 N; Dlim; diam; s1opts
10;2;2;4
11;2;2;3
11;2;2;4
12;2;3;3
12;2;3;4
12;2;3;5
13;2;2;5
14;3;3;3
14;3;3;4
14;3;3;5
14;3;3;6
15;3;3;3
15;3;3;4
15;3;3;5
15;3;3;6
16;3;3;4
16;3;3;6
17;3;3;3
17;3;3;4
17;3;3;5
17;3;3;6
17;3;3;7
18;3;3;4
18;3;3;5
18;3;3;7
19;3;3;4
19;3;3;5
19;3;3;7
19;3;3;8
20;3;3;8
21;22;22;33
21;22;22;38
22;22;22;37
23;22;22;40
23;22;22;40
24;22;22;53
24;22;22;57
24;22;22;80
24;22;22;125
24;22;22;126
24;22;22;130
25;22;22;128
26;22;22;127
26;22;22;132
26;22;22;161
26;22;22;180
26;22;22;182
27;21;21;208
27;22;22;199
27;22;22;208
27;22;22;212
27;22;22;223
27;22;22;229
27;22;22;224
28;22;22;242
28;22;22;249
28;22;22;249
28;22;22;255
28;21;21;294
29;21;21;316
29;21;21;320
29;22;22;299
29;22;22;310
29;21;21;346
30;22;22;323
30;22;22;325
31;22;22;327
31;22;22;334
31;22;22;365
31;22;22;373
32;22;22;371
32;22;22;377
32;22;22;379
33;22;22;384
33;22;22;388
33;22;22;386
33;22;22;390
33;22;22;435
33;22;22;447
34;22;22;451
35;22;22;454
36;22;22;466
36;22;22;38
37;22;22;40
37;22;22;46
38;22;22;52
39;22;22;82
39;22;22;81
40;22;22;128
40;22;22;122
40;22;22;141
40;22;22;144
40;22;22;163
40;22;22;170
40;22;22;184
40;22;22;206
41;22;22;223
42;22;22;228
42;22;22;250
42;22;22;271
42;22;22;293
43;22;22;299
43;22;22;342
43;22;22;354
43;15;15;77
43;21;21;438
43;22;22;360
43;14;14;87
43;21;22;32
44;15;15;192
44;21;21;41
44;21;22;52
45;21;21;45
45;22;22;413
45;22;22;428
45;15;15;58
45;21;22;88
45;15;15;60
45;22;22;426
46;15;15;82
46;14;14;54
46;22;22;457
46;22;22;461
46;21;22;118
47;15;15;139
47;15;15;159
47;21;22;138
47;22;22;38
47;22;22;37
47;14;14;27
48;14;14;29
48;14;14;34
49;22;22;46
49;22;22;51
49;15;15;210
50;14;14;53
50;22;22;35
50;14;14;59
50;22;22;41
50;14;14;25
50;14;14;33
51;22;22;47
51;14;14;89
51;22;22;82
52;22;22;52
52;14;14;56
53;22;22;55
53;22;22;90
53;15;15;58
53;14;14;123
54;15;15;60
55;15;15;79
55;15;15;84
55;15;15;96
55;15;15;105
56;21;22;216
57;15;15;135
58;14;14;27
59;14;14;29
59;14;14;34
60;15;15;157
60;21;22;237
60;15;15;169
60;22;22;129
60;15;15;173
60;22;22;146
60;22;22;131
60;14;14;83
60;14;14;85
60;22;22;126
61;15;15;24
62;14;14;139
62;14;14;141
62;14;14;152
62;22;22;133
62;5;5;5
62;5;5;8
63;5;5;9
63;5;5;12
63;5;5;16
63;5;5;17
63;5;5;18
64;5;5;19
64;10;10;18
64;5;5;8
64;5;5;10
64;5;5;12
64;22;22;184
64;14;14;182
65;10;10;16
65;10;10;22
65;10;10;19
65;10;10;33
65;10;10;23
65;14;14;29
66;10;10;40
66;15;15;21
66;15;15;31
66;13;13;26
66;16;16;27
66;11;11;21
67;13;13;28
67;17;17;32
67;8;8;14
67;6;6;10
67;17;17;38
67;8;8;20
67;15;15;26
67;9;9;16
68;14;14;27
68;4;4;7
68;8;8;30
68;5;5;6
68;17;17;34
68;17;17;44
69;8;8;36
69;16;16;31
69;10;10;17
69;13;13;22
69;10;10;23
69;12;12;82
70;10;10;22
70;6;6;12
70;6;6;14
70;6;6;18
70;10;10;35
70;13;13;53
70;5;5;7
70;3;3;6
70;11;11;24
70;7;7;13
70;8;8;16
70;18;18;28
70;6;6;10
70;7;7;30
70;8;8;40
70;9;9;44
71;8;8;64
71;14;14;32
71;16;16;37
71;21;22;315
71;12;12;119
71;12;12;22
72;17;17;65
72;14;14;19
72;6;6;25
72;12;12;21
73;9;9;40
73;6;6;9
73;6;6;14
73;8;8;33
73;21;21;41
73;13;13;110
74;21;21;37
74;18;18;97
75;16;16;40
75;8;8;15
76;19;19;32
77;15;15;94
77;17;17;67
77;12;12;26
78;11;11;25
78;19;19;36
79;16;16;33
79;12;12;129
80;19;19;39
81;9;9;18
82;16;16;124
83;14;15;25
83;21;21;40
84;19;19;65
84;16;16;58
84;11;11;17
84;10;10;20
84;3;3;8
84;20;20;36
84;20;20;38
84;20;20;31
84;12;12;92
84;16;16;68
84;5;5;8
84;19;19;34
85;17;17;27
86;18;18;40
86;14;14;29
86;11;11;22
86;10;11;19
86;11;11;24
86;20;20;44
86;10;10;50
87;17;17;33
87;11;11;21
87;14;14;23
87;22;22;211
87;22;22;202
87;19;19;38
87;4;4;9
87;21;21;43
87;19;19;78
87;19;19;29
87;16;16;28
88;18;18;40
88;16;16;167
88;10;10;45
89;21;22;318
89;15;15;32
89;17;17;105
89;12;12;72
89;13;13;75
90;19;19;37
90;13;13;72
90;9;9;38
90;22;22;44
90;20;20;41
90;7;7;15
91;15;15;29
91;13;13;55
91;15;15;207
91;9;9;33
91;21;21;46
91;14;14;76
91;10;10;22
91;11;11;20
91;21;21;40
92;13;13;48
92;8;8;48
93;7;7;40
93;22;22;299
93;17;17;91
93;9;9;50
93;5;5;12
93;18;18;34
93;20;20;39
93;10;11;21
94;16;16;61
94;17;17;98
94;11;11;23
94;6;6;17
94;22;22;280
95;15;15;100
95;9;9;54
95;17;17;138
95;18;18;105
95;16;16;93
95;8;8;19
95;12;12;27
96;22;22;170
96;20;20;40
96;16;16;26
96;13;13;128
97;14;14;20
97;19;19;33
98;17;17;40
98;14;14;33
98;15;15;41
98;4;4;12
98;11;11;45
98;17;17;43
98;19;19;40
99;12;12;43
99;18;18;112
99;7;7;27
99;15;15;31
100;7;7;29
100;10;10;84
101;9;9;35
101;22;22;294
102;14;15;33
102;12;12;22
102;21;21;47
103;19;19;39
103;17;17;154
104;20;20;40
105;18;18;42
105;10;10;15
105;15;15;65
105;22;22;301
105;15;15;182
105;17;17;62
105;20;20;41
105;10;10;62
106;9;9;74
107;6;6;12
107;10;10;64
108;16;16;67
109;20;20;80
109;22;22;228
110;22;22;213
111;13;13;50
111;17;17;106
112;20;20;51
112;12;12;30
112;9;9;22
112;13;13;77
112;6;6;27
112;14;14;89
112;16;16;91
112;16;16;31
112;11;11;71
112;12;12;96
112;17;17;37
112;11;11;47
113;7;7;9
114;16;16;95
114;21;21;42
114;15;15;24
114;15;15;36
114;19;19;43
114;7;7;36
115;9;9;41
115;11;11;68
115;9;9;42
115;14;15;36
115;5;5;10
115;11;11;70
115;9;9;45
115;14;14;87
115;8;8;59
115;14;14;116
116;10;10;22
116;10;11;23
116;17;17;100
116;17;17;161
116;21;21;80
116;11;12;16
116;19;19;80
116;8;9;15
117;13;13;158
117;21;21;131
117;18;18;134
117;3;3;6
117;15;15;24
117;14;14;135
117;12;12;138
117;19;19;78
118;18;18;46
118;18;18;216
118;15;15;27
118;10;10;92
118;15;15;64
118;4;4;5
119;6;6;10
119;14;14;122
119;15;15;33
119;14;14;24
119;13;13;87
119;12;12;43
119;6;6;14
120;7;7;10
120;16;16;91
120;7;7;13
120;7;7;16
120;22;22;221
120;19;19;40
120;5;5;13
121;12;12;22
121;15;15;29
121;19;19;49
121;16;16;168
121;17;17;166
121;17;17;167
121;15;15;124
122;18;18;36
122;8;8;44
122;16;16;50
122;17;17;169
122;17;17;104
122;9;9;22
122;5;5;10
123;11;11;91
123;13;13;121
123;10;10;58
123;14;14;106
123;3;3;5
123;13;13;80
124;9;9;55
124;9;9;56
124;14;14;137
124;6;6;12
124;9;9;64
125;14;15;65
125;9;9;78
125;9;9;67
125;14;15;66
125;13;13;69
125;8;9;14
125;12;12;51
126;21;22;356
127;16;16;93
127;8;9;20
127;7;7;41
127;12;12;53
127;5;5;17
127;11;12;17
127;3;3;9
127;15;15;80
128;13;13;22
128;11;11;22
128;7;7;46
128;10;10;60
128;21;21;74
128;9;9;38
129;4;4;6
129;5;5;12
129;13;13;82
129;15;15;114
130;5;5;21
130;14;14;177
131;11;11;112
131;6;6;18
131;14;14;153
131;19;19;95
131;21;21;82
131;18;18;173
132;12;12;58
132;16;16;117
132;6;6;12
132;14;14;39
132;19;19;125
132;12;12;144
132;17;17;163
132;14;14;138
133;16;16;132
133;13;13;107
133;12;12;79
134;13;13;109
134;11;11;93
135;10;10;25
136;14;15;121
136;17;17;223
136;11;11;24
136;21;21;82
137;7;7;19
137;5;5;19
137;14;15;126
137;5;5;6
138;16;16;183
138;13;13;84
138;15;15;116
138;20;20;106
138;14;14;188
138;12;12;23
138;8;9;17
138;8;8;46
138;12;12;26
138;12;12;27
138;11;12;21
138;3;4;4
138;6;6;25
138;15;15;145
139;6;6;28
139;21;22;374
140;13;13;136
141;15;15;96
142;12;12;64
143;20;20;107
143;6;6;33
144;9;9;69
144;10;10;20
144;11;11;21
144;12;12;84
144;22;22;291
144;6;6;22
144;18;18;72
144;17;17;171
144;22;22;262
144;14;14;56
144;7;7;20
144;11;11;27
144;19;19;110
144;16;16;190
144;10;11;26
145;4;4;7
146;5;5;23
146;18;18;234
146;16;16;140
146;7;7;13
146;15;15;140
146;8;9;19
146;21;21;81
146;13;13;134
146;18;18;238
147;18;18;152
147;6;6;29
147;7;7;43
147;22;22;397
147;11;12;23
148;16;16;229
148;22;22;334
148;10;10;92
148;9;9;17
148;13;13;88
148;16;16;86
149;14;14;180
149;21;21;84
149;9;9;16
149;13;13;166
149;9;9;18
149;15;15;140
149;7;7;24
149;13;13;100
149;15;15;100
149;16;16;242
149;6;6;24
149;12;12;101
149;13;13;74
150;10;10;55
150;20;20;194
150;4;4;9
150;4;4;13
150;18;18;117
150;7;7;17
151;17;17;251
151;13;13;117
151;3;4;5
151;21;21;83
151;8;9;22
151;15;15;126
151;22;22;273
151;13;13;20
151;17;17;131
151;6;6;7
152;18;18;116
152;11;12;25
152;18;18;94
152;7;7;13
152;15;15;189
153;10;11;39
153;11;11;23
153;17;17;226
153;15;15;160
153;15;15;131
153;9;9;21
153;19;19;77
153;10;10;19
153;20;20;174
153;10;10;21
153;19;19;130
153;20;20;162
154;14;15;149
154;22;22;424
154;17;17;32
154;10;10;37
155;21;21;229
155;12;12;30
155;6;6;36
155;10;10;43
155;18;18;262
156;16;16;176
156;6;6;11
156;6;6;15
157;9;9;47
157;13;13;136
157;8;8;50
157;20;20;126
157;21;21;117
157;10;10;57
157;13;13;22
157;13;13;25
158;5;5;7
158;10;10;95
158;13;13;29
158;11;11;68
158;21;21;313
158;19;19;166
158;14;14;88
159;15;15;160
159;16;16;228
159;18;18;132
159;12;12;76
160;17;17;204
160;15;15;204
161;7;7;26
161;7;8;13
161;7;8;15
161;22;22;283
161;13;13;48
162;13;13;106
162;16;16;220
162;9;9;36
162;11;12;31
162;10;11;41
162;12;12;106
162;17;17;240
162;15;15;155
163;14;15;158
163;14;14;150
163;5;5;10
163;3;4;6
163;7;7;15
163;16;16;102
164;8;8;54
164;6;6;9
164;11;12;47
165;16;16;36
166;11;12;49
166;15;15;161
167;22;22;368
167;8;8;14
167;21;21;128
167;8;8;16
168;18;18;256
169;8;8;22
169;6;7;8
170;18;18;99
170;10;10;82
171;16;16;232
171;11;11;38
171;13;13;161
171;7;7;32
171;7;7;33
171;5;5;8
172;16;16;31
173;14;14;98
173;15;15;27
173;11;11;114
173;19;19;79
174;22;22;448
174;20;20;185
174;13;13;50
174;7;8;17
174;8;9;24
174;20;20;254
174;15;15;213
174;14;14;113
174;19;19;193
174;18;18;177
175;10;11;50
176;7;7;18
177;5;5;24
178;9;9;59
179;12;13;20
179;12;12;23
180;19;19;337
180;15;15;202
180;5;5;22
180;17;17;133
180;20;20;180
180;11;11;70
180;21;21;269
180;10;10;16
180;8;9;26
180;14;14;50
180;14;14;156
180;4;4;14
180;18;18;138
180;7;8;20
180;8;9;30
181;9;9;51
182;17;17;225
182;21;22;437
182;7;7;38
182;10;11;59
182;17;17;100
182;10;11;61
182;5;5;9
183;19;19;202
183;17;17;256
183;9;9;18
183;5;5;10
183;16;16;194
183;3;4;7
183;16;16;33
183;18;18;179
183;22;22;341
183;13;13;163
183;20;20;203
183;12;12;120
183;20;20;294
183;11;11;116
183;18;18;151
184;15;15;35
184;20;20;375
184;21;21;163
184;22;22;362
184;7;7;38
184;14;15;174
184;21;21;165
185;8;8;26
185;11;11;43
185;15;15;173
185;15;15;27
185;4;4;6
185;20;20;255
185;10;10;78
186;11;12;60
186;18;18;119
186;18;18;199
186;18;18;314
186;10;10;15
186;9;9;60
187;14;14;167
187;19;19;116
187;21;21;277
187;5;5;13
187;17;17;102
187;17;17;164
188;20;20;207
188;13;13;22
188;18;18;152
188;15;15;54
188;5;5;13
188;6;6;10
188;22;22;393
188;20;20;204
189;16;16;24
189;12;13;23
189;21;21;197
189;13;13;94
189;21;21;163
189;19;19;227
189;12;12;25
189;21;21;188
189;14;14;106
189;16;16;171
189;10;10;19
189;7;7;16
189;11;11;45
189;19;19;328
190;14;15;182
190;9;10;17
190;11;11;22
190;7;8;24
190;4;4;10
190;12;12;19
190;17;17;253
190;15;15;33
191;12;12;22
191;10;10;18
191;18;18;167
191;14;15;190
192;11;12;71
192;10;10;22
192;13;13;26
192;16;16;95
192;22;22;372
192;10;11;65
193;19;19;338
193;16;16;101
193;10;10;17
193;6;6;12
193;5;6;7
193;6;6;15
193;6;6;19
193;15;15;32
194;3;4;9
194;14;15;23
194;22;22;395
194;21;21;427
195;12;13;25
195;9;9;43
195;17;17;263
195;6;7;10
195;13;13;99
195;8;8;36
195;7;7;24
195;10;10;21
196;18;18;145
196;9;10;19
196;7;8;30
196;8;9;36
196;14;14;120
197;17;17;210
197;12;12;45
197;11;11;65
197;11;11;67
197;14;14;60
197;11;11;95
198;17;17;176
199;9;9;64
199;19;19;118
199;10;10;59
199;10;10;25
200;10;10;61
200;22;22;37
200;15;15;62
200;7;7;18
200;12;12;110
200;13;13;80
201;10;11;67
201;17;17;166
201;20;20;39
201;15;15;190
201;19;19;248
201;5;6;8
201;6;6;20
201;5;6;9
202;16;16;235
203;13;14;22
203;10;10;90
203;10;10;25
203;16;16;214
203;22;22;366
203;12;13;27
204;16;16;28
204;6;7;11
204;8;8;37
205;6;7;13
205;13;13;117
205;9;9;57
206;9;10;21
207;16;16;95
207;10;10;16
207;9;10;24
208;8;9;39
209;20;20;213
210;7;8;31
210;19;19;275
210;18;18;196
210;13;13;112
210;8;9;55
211;8;9;58
211;12;12;51
212;14;14;170
213;20;20;308
213;18;18;265
213;12;12;24
213;11;12;73
214;8;8;14
215;11;11;118
216;11;11;87
217;21;21;204
217;15;15;28
218;15;15;98
219;7;7;44
219;6;6;28
220;18;18;167
220;12;12;77
220;22;22;42
220;6;6;8
220;10;11;78
220;16;16;238
220;19;19;241
220;20;20;277
220;14;14;87
220;14;15;26
220;13;13;154
220;5;5;7
220;17;17;178
220;6;7;15
220;6;7;18
220;6;7;23
221;8;8;53
222;8;9;31
222;16;16;210
222;18;18;227
222;16;16;97
222;15;15;118
222;15;15;50
222;19;19;261
223;17;17;38
223;19;19;142
223;9;10;32
223;7;8;33
223;4;4;8
223;12;13;47
223;7;8;41
223;21;21;278
223;10;10;59
223;12;12;24
223;18;18;269
223;19;19;34
224;11;11;89
224;11;12;78
224;19;19;37
224;5;6;11
224;21;21;206
224;3;4;10
225;11;11;100
225;19;19;39
225;10;11;79
225;6;6;9
225;11;11;17
225;6;6;12
225;11;11;106
226;9;9;16
226;22;22;128
226;15;15;196
226;17;17;276
226;16;16;134
226;5;5;10
226;21;21;235
226;21;21;88
226;16;16;256
226;14;15;32
227;14;14;174
227;12;12;26
227;12;12;26
227;20;20;335
227;20;20;366
227;14;15;194
227;10;10;35
227;5;6;13
227;19;19;286
227;18;18;197
228;16;16;248
228;3;3;7
228;11;12;82
228;11;11;20
228;11;11;109
229;11;11;22
229;11;11;111
229;11;11;117
229;7;7;30
229;13;14;25
229;17;17;64
229;15;15;198
229;7;7;26
230;5;5;13
230;5;5;14
230;19;19;245
230;8;9;33
230;19;19;263
230;14;14;101
230;8;8;16
230;13;13;126
231;11;11;18
231;21;21;239
231;13;13;133
231;9;10;39
231;10;10;19
231;15;15;120
231;12;13;49
231;9;9;68
231;21;21;33
231;16;16;60
231;22;22;421
231;17;17;197
231;17;17;286
231;16;16;159
232;16;16;34
232;18;18;220
232;9;9;16
232;18;18;275
232;18;18;118
233;15;15;206
233;20;20;323
233;22;22;467
233;20;20;332
233;19;19;155
233;20;20;283
233;13;13;113
233;10;10;43
233;10;10;44
233;10;11;81
234;8;8;51
234;4;4;4
234;19;19;75
235;11;11;27
235;6;6;15
235;7;7;37
235;19;19;76
235;19;19;77
235;22;22;46
236;16;16;31
236;7;7;12
236;7;7;12
236;5;5;18
237;21;21;428
237;8;9;40
237;16;16;221
237;6;7;25
237;13;13;128
237;11;11;21
238;17;17;32
238;20;20;383
238;9;9;70
238;19;19;270
238;20;20;146
238;18;18;218
238;18;18;324
239;17;17;199
239;17;17;158
239;16;16;68
239;15;15;132
239;16;16;161
239;9;9;24
239;21;21;306
239;4;4;10
240;18;18;306
240;21;21;41
241;15;15;29
241;19;19;157
241;9;9;46
241;4;4;6
242;4;4;7
242;12;12;23
242;5;6;17
242;12;12;124
242;9;9;56
242;6;6;26
242;13;14;27
242;6;6;30
242;16;16;36
242;16;16;57
242;21;21;86
242;11;11;41
242;10;11;99
243;11;11;43
243;11;11;92
243;17;17;66
243;13;13;134
244;22;22;463
244;14;14;24
244;10;10;72
245;9;9;15
245;11;11;54
245;7;7;16
246;22;22;51
247;7;7;28
247;7;7;34
247;6;7;32
247;8;9;44
247;7;7;37
248;18;18;282
248;7;7;46
248;9;10;41
249;16;16;226
250;11;11;23
250;21;21;273
251;7;7;12
251;10;10;65
251;20;20;355
251;14;15;35
252;19;19;290
253;12;13;58
253;21;21;273
253;7;7;43
253;17;17;72
253;19;19;292
253;13;13;54
253;20;20;390
253;14;14;62
253;7;8;43
253;4;4;10
254;13;13;22
254;15;15;212
255;13;13;127
256;12;12;25
257;12;12;126
257;16;16;80
257;21;21;48
257;15;15;196
258;9;9;74
259;13;14;29
259;20;20;330
260;10;11;101
261;17;17;108
262;17;17;219
263;15;15;49
263;14;14;148
264;19;19;113
264;15;15;198
264;13;13;20
264;11;11;62
264;5;5;20
264;16;16;35
264;15;15;25
264;19;19;294
264;19;19;310
264;17;18;26
264;7;7;39
264;15;15;28
264;6;7;35
264;16;16;97
264;22;22;473
264;19;19;331
264;13;14;55
264;8;8;22
264;9;10;50
265;16;16;229
266;13;14;57
266;14;14;90
266;9;10;53
266;20;20;174
266;18;18;261
266;16;16;86
266;4;4;8
267;14;14;56
267;13;13;50
267;17;17;88
267;7;7;16
267;7;8;47
267;13;14;69
267;4;4;11
267;19;19;276
267;14;15;48
267;7;8;49
268;22;22;36
268;8;8;60
268;6;6;8
268;13;14;77
268;20;20;170
268;12;12;106
268;11;12;95
268;16;16;223
268;19;19;194
269;11;11;74
269;11;11;64
269;9;9;21
269;20;20;346
269;8;9;53
269;6;7;37
269;6;7;38
269;19;19;319
269;17;17;230
270;18;18;273
270;14;14;90
270;10;10;21
270;16;16;112
270;10;10;38
270;10;10;21
271;7;7;12
271;8;8;28
271;18;18;210
271;16;16;158
271;8;8;36
271;9;10;55
271;4;4;14
271;12;13;66
271;14;14;172
271;13;13;164
272;4;4;16
272;20;20;357
272;20;20;178
272;4;4;7
272;22;22;48
272;13;13;52
273;21;21;299
273;4;4;4
273;12;12;29
273;16;16;26
273;11;11;68
274;21;21;51
274;9;9;20
274;8;9;55
274;19;19;115
274;16;16;31
274;21;22;41
274;15;15;204
274;12;12;119
275;11;11;21
275;20;20;348
275;10;10;13
275;18;18;293
275;11;11;26
275;19;19;333
275;15;15;37
275;11;11;19
275;16;16;42
275;20;20;371
275;22;22;41
275;17;17;110
275;12;13;71
275;21;21;36
275;8;8;51
276;10;10;46
276;14;14;52
276;4;4;5
276;4;4;6
276;15;15;84
276;4;4;7
276;17;17;138
276;13;13;122
276;16;16;56
276;16;16;119
277;14;14;60
277;16;16;130
277;16;16;124
277;17;17;240
277;6;6;9
277;13;13;70
277;8;8;14
277;14;14;71
278;19;19;196
278;14;14;87
278;13;14;79
278;5;5;18
278;7;7;11
278;21;21;316
279;7;7;15
279;14;14;81
279;5;6;18
279;21;21;393
279;14;14;83
279;16;16;77
279;14;14;140
280;18;18;295
280;15;15;27
280;16;16;225
280;8;9;60
280;15;15;99
280;12;12;49
280;8;9;63
280;12;12;121
281;12;12;51
281;14;15;63
281;18;18;35
281;20;20;198
281;10;10;14
281;16;16;248
281;6;6;13
281;12;12;132
281;7;7;14
281;17;18;33
282;22;22;82
282;18;18;298
282;18;18;42
282;9;9;78
282;11;11;27
282;12;12;74
283;4;4;11
283;11;11;48
283;12;12;76
283;8;8;55
283;8;8;56
283;20;20;190
283;16;16;101
283;15;15;138
284;12;12;81
284;14;14;172
284;8;8;13
284;11;11;18
284;21;21;41
285;22;22;47
285;8;8;19
285;19;19;324
285;12;12;23
285;21;21;43
285;16;16;110
285;22;22;92
285;15;15;28
286;13;14;83
287;17;17;124
287;9;9;24
287;5;6;22
287;5;6;23
287;22;22;90
288;20;20;368
288;11;11;83
288;8;8;56
288;16;16;135
288;8;9;65
288;10;10;40
289;15;15;33
289;18;18;150
289;17;17;232
289;15;15;163
289;13;13;110
289;8;8;12
290;10;10;15
290;21;22;43
290;8;8;18
290;18;18;39
291;17;18;35
291;12;12;24
291;15;16;22
291;14;14;103
291;7;7;9
292;11;11;52
293;14;14;117
293;4;5;6
293;4;4;8
293;10;10;54
293;9;9;18
293;9;9;20
294;14;15;84
294;11;12;97
295;14;15;85
295;12;13;73
295;12;12;25
295;6;6;15
295;8;8;34
295;5;5;20
296;15;15;129
296;13;14;85
297;18;18;168
297;15;15;32
298;14;15;94
299;11;11;69
299;5;6;25
299;9;9;34
300;11;11;85
300;16;16;177
300;20;20;316
300;19;19;151
301;8;8;15
301;13;13;122
302;17;17;237
302;19;19;36
303;18;18;316
304;21;22;45
305;11;11;104
305;4;5;7
305;19;19;38
305;13;13;166
306;11;11;72
307;21;21;327
307;14;14;110
308;17;18;37
309;4;4;10
310;16;16;240
311;22;22;83
311;21;21;44
312;14;15;119
312;15;15;214
312;12;13;74
312;12;12;99
312;8;8;16
312;6;6;19
312;9;9;37
312;8;8;45
312;18;18;190
312;8;8;47
312;15;15;97
312;11;12;109
312;19;19;278
312;18;18;40
312;5;5;11
312;10;10;18
312;13;13;139
312;13;13;30
312;15;15;106
312;13;14;98
312;7;7;16
312;13;13;124
313;8;8;26
314;9;10;56
314;21;21;236
314;8;8;34
314;19;19;233
314;19;19;35
314;8;8;42
314;4;5;9
314;13;14;111
314;15;16;27
314;8;8;50
315;13;14;113
315;19;19;40
315;21;21;384
315;19;19;74
315;16;16;130
315;19;19;43
315;21;21;83
315;21;21;109
315;20;20;44
315;15;15;68
315;11;11;69
315;7;7;10
315;14;14;119
315;12;12;101
316;9;9;39
316;8;8;18
316;7;7;14
316;20;20;48
316;10;10;74
316;5;5;9
317;14;14;24
317;8;8;54
317;8;9;66
317;13;13;77
317;9;9;36
317;15;15;133
317;11;12;111
317;12;12;138
317;10;10;20
317;12;12;124
317;13;13;83
318;19;19;42
318;6;6;8
318;6;6;11
318;11;12;119
318;6;6;14
318;19;19;153
318;11;12;121
318;16;16;247
319;17;17;31
319;14;14;132
319;13;14;129
319;10;10;58
319;19;19;76
319;7;7;16
319;6;6;26
319;5;5;11
320;12;13;84
320;17;17;263
320;10;10;83
320;21;21;399
320;4;4;11
321;14;15;125
321;10;10;88
321;20;20;40
321;16;16;62
321;19;19;66
321;8;8;13
321;12;12;126
321;21;21;82
321;16;16;196
321;18;18;46
321;12;12;129
321;6;6;17
322;7;7;20
322;11;11;112
322;18;18;36
322;13;13;149
322;11;11;100
322;14;14;157
322;11;11;102
323;11;11;106
323;15;15;150
323;14;14;161
323;17;18;71
323;8;8;10
324;12;12;19
324;18;18;34
324;15;16;35
324;22;22;165
324;12;12;22
324;18;18;102
324;12;12;24
324;15;15;86
324;10;10;56
325;11;11;21
325;16;16;135
325;12;12;80
325;21;21;85
325;15;15;157
325;7;7;13
325;22;22;179
325;9;10;66
325;13;14;131
325;20;20;256
325;16;16;25
325;17;17;27
325;17;17;265
325;20;20;322
325;6;6;29
325;22;22;91
326;21;21;329
326;17;17;278
326;4;4;5
326;9;9;48
326;20;20;123
326;17;17;70
326;8;8;19
326;10;10;22
327;8;8;17
327;21;21;84
327;6;6;26
327;4;5;11
327;7;7;33
327;7;7;34
327;19;19;189
327;16;16;182
327;19;19;235
327;19;19;191
327;17;18;73
328;19;19;112
328;21;22;50
328;13;13;144
329;14;15;148
329;11;11;26
329;12;12;29
329;18;18;60
329;11;11;16
330;7;7;19
330;12;12;88
330;9;10;69
330;5;5;14
331;22;22;198
331;16;16;31
331;7;7;19
331;11;11;108
331;16;16;33
331;10;10;64
332;14;14;150
332;12;13;92
332;17;17;38
332;17;18;91
333;4;4;6
333;4;4;8
333;9;9;75
333;17;17;41
333;6;6;28
333;10;10;15
333;10;10;25
333;8;8;34
333;12;12;92
333;21;21;176
334;8;8;11
334;13;13;50
334;8;8;52
334;15;16;38
334;13;13;52
335;8;8;56
335;11;11;23
335;11;11;88
335;20;20;124
336;17;17;37
336;8;8;13
336;13;13;150
336;11;11;35
337;8;8;19
337;5;5;9
337;5;5;11
337;22;22;200
337;9;9;14
337;21;22;56
338;21;21;118
338;13;13;72
338;11;11;48
338;19;19;227
338;21;21;156
338;22;22;460
338;8;8;50
338;19;19;229
338;11;11;20
338;12;12;49
338;14;15;156
338;18;18;301
338;14;14;142
339;22;22;204
339;15;15;215
339;16;16;143
339;16;16;38
339;13;13;52
339;21;21;402
340;4;4;11
340;9;9;77
341;15;15;82
341;20;20;148
341;4;5;12
342;6;6;11
342;10;10;27
342;10;10;29
343;8;8;12
344;15;15;120
344;7;7;12
345;18;18;188
345;13;14;134
345;10;10;41
345;17;17;36
346;10;10;43
346;15;15;164
347;14;14;24
347;5;5;14
347;11;11;95
347;14;14;178
348;17;17;59
348;11;11;48
348;9;9;17
349;20;20;342
349;15;15;205
350;11;11;51
351;9;10;79
351;21;21;138
351;7;7;29
351;13;13;138
351;8;8;52
351;20;20;37
351;18;18;72
351;13;13;22
351;12;12;136
351;12;12;104
351;18;18;94
351;13;13;92
352;12;13;95
353;20;20;298
353;4;4;12
354;18;18;156
354;16;16;41
355;19;19;265
355;6;6;14
356;12;12;74
357;6;6;18
357;8;8;15
357;16;16;150
358;17;17;161
359;14;14;162
359;9;9;18
360;12;12;84
361;13;14;139
361;17;18;107
362;22;22;226
363;11;11;103
363;17;17;64
364;19;19;272
364;10;10;68
364;15;15;175
364;11;11;22
364;7;7;31
364;17;17;66
364;15;16;62
364;14;15;157
364;7;7;44
364;17;17;32
364;8;8;13
364;15;15;186
364;12;12;112
364;14;14;52
364;4;4;5
364;17;17;181
364;16;16;184
364;20;20;45
364;6;7;6
364;15;15;32
364;21;22;87
364;20;20;148
364;4;5;15
364;10;10;36
364;7;7;14
365;8;8;27
366;16;16;152
366;11;11;46
366;19;19;109
366;14;14;24
366;5;5;19
367;13;14;141
367;21;21;364
367;20;20;362
367;17;18;109
367;13;13;73
367;12;12;23
367;16;16;66
367;16;17;31
367;9;9;60
367;6;7;8
367;21;21;167
367;16;17;33
367;16;16;187
367;15;15;194
368;9;9;15
368;6;6;23
368;4;5;16
368;4;5;17
368;18;18;247
368;15;16;88
368;8;8;21
368;4;4;9
368;5;5;21
368;8;8;37
368;22;22;50
368;7;7;33
369;22;22;248
369;16;16;198
369;16;16;233
369;19;19;274
369;11;11;66
