N, s, D, AD
509,59,16,10.6457
509,69,16,10.6457
509,160,16,10.6457
511,31,16,10.6667
511,33,16,10.6667
511,61,16,10.6667
511,67,16,10.6667
512,31,16,10.6771
512,33,16,10.6771
512,95,16,10.6771
512,97,16,10.6771
512,159,16,10.6771
512,161,16,10.6771
512,223,16,10.6771
512,225,16,10.6771
512,240,16,10.6771
513,31,16,10.6875
513,33,16,10.6875
513,150,16,10.6875
513,182,16,10.6875
514,120,16,10.6979
515,90,16,10.7082
515,162,16,10.7082
515,213,16,10.7082
516,92,16,10.7184
517,98,16,10.7287
517,139,16,10.7287
517,153,16,10.7287
517,212,16,10.7287
518,60,16,10.7389
519,62,16,10.749
519,123,16,10.749
519,226,16,10.749
520,152,16,10.7592
521,91,16,10.7692
521,183,16,10.7692
521,229,16,10.7692
521,242,16,10.7692
522,214,16,10.7793
523,36,16,10.7893
523,97,16,10.7893
523,124,16,10.7893
523,247,16,10.7893
524,184,16,10.7992
525,30,16,10.8092
525,163,16,10.8092
525,248,16,10.8092
526,30,16,10.819
527,34,16,10.8289
528,32,16,10.8387
528,34,16,10.8387
528,98,16,10.8387
528,100,16,10.8387
528,164,16,10.8387
528,166,16,10.8387
528,230,16,10.8387
528,232,16,10.8387
529,32,16,10.8485
529,248,16,10.8485
530,188,16,10.8582
531,124,16,10.8679
531,167,16,10.8679
532,220,16,10.8776
533,95,16,10.8872
533,101,16,10.8872
534,158,16,10.8968
535,62,16,10.9064
535,233,16,10.9064
536,64,16,10.9159
537,157,16,10.9254
537,236,16,10.9254
538,94,16,10.9348
539,100,16,10.9442
539,221,16,10.9442
540,128,16,10.9536
541,168,16,10.963
541,190,16,10.963
542,256,16,10.9723
543,31,16,10.9815
543,35,16,10.9815
545,33,16,11.
546,256,17,11.011
547,172,17,11.022
547,194,17,11.022
548,128,17,11.0329
549,104,17,11.0438
549,227,17,11.0438
550,98,17,11.0546
551,163,17,11.0655
551,240,17,11.0655
552,64,17,11.0762
553,66,17,11.087
553,243,17,11.087
554,162,17,11.0976
555,97,17,11.1083
555,103,17,11.1083
556,228,17,11.1189
557,132,17,11.1295
557,173,17,11.1295
558,196,17,11.14
559,36,17,11.1505
559,264,17,11.1505
560,32,17,11.161
561,32,17,11.1714
561,34,17,11.1714
561,65,17,11.1714
561,67,17,11.1714
561,98,17,11.1714
561,100,17,11.1714
561,131,17,11.1714
561,133,17,11.1714
561,164,17,11.1714
561,166,17,11.1714
561,197,17,11.1714
561,199,17,11.1714
561,230,17,11.1714
561,232,17,11.1714
561,263,17,11.1714
561,265,17,11.1714
562,34,17,11.1818
563,177,17,11.1922
563,264,17,11.1922
564,200,17,11.2025
565,107,17,11.2128
565,132,17,11.2128
566,178,17,11.223
566,234,17,11.223
567,101,17,11.2332
567,247,17,11.2332
568,168,17,11.2434
568,220,17,11.2434
569,66,17,11.2535
569,250,17,11.2535
570,68,17,11.2636
570,108,17,11.2636
571,106,17,11.2737
571,167,17,11.2737
572,100,17,11.2837
572,158,17,11.2837
573,178,17,11.2937
573,235,17,11.2937
574,136,17,11.3037
574,250,17,11.3037
575,37,17,11.3136
575,202,17,11.3136
576,272,17,11.3235
577,33,17,11.3333
577,35,17,11.3333
578,33,17,11.3432
578,35,17,11.3432
578,67,17,11.3432
578,69,17,11.3432
578,101,17,11.3432
578,103,17,11.3432
578,135,17,11.3432
578,137,17,11.3432
578,169,17,11.3432
578,171,17,11.3432
578,203,17,11.3432
578,205,17,11.3432
578,237,17,11.3432
578,239,17,11.3432
578,254,17,11.3432
578,271,17,11.3432
578,273,17,11.3432
579,33,17,11.3529
579,35,17,11.3529
579,182,17,11.3529
